date,group_name,ratio
2022-03-28,UncommonStyle,0.25564
2022-04-04,UncommonStyle,0.23434
2022-04-11,UncommonStyle,0.18108
2022-04-18,UncommonStyle,0.27694
2022-04-25,UncommonStyle,0.26629
2022-05-02,UncommonStyle,0.21303
2022-05-09,UncommonStyle,0.20238
2022-05-16,UncommonStyle,0.17043
2022-05-23,UncommonStyle,0.21303
2022-05-30,UncommonStyle,0.20238
2022-06-06,UncommonStyle,0.26629
2022-06-13,UncommonStyle,0.40477
2022-06-20,UncommonStyle,0.34086
2022-06-27,UncommonStyle,0.19173
2022-07-04,UncommonStyle,0.13847
2022-07-11,UncommonStyle,0.37281
2022-07-18,UncommonStyle,0.35151
2022-07-25,UncommonStyle,0.20238
2022-08-01,UncommonStyle,0.55389
2022-08-08,UncommonStyle,0.48998
2022-08-15,UncommonStyle,0.3089
2022-08-22,UncommonStyle,0.35151
2022-08-29,UncommonStyle,0.3089
2022-09-05,UncommonStyle,0.36216
2022-09-12,UncommonStyle,0.36216
2022-09-19,UncommonStyle,0.34086
2022-09-26,UncommonStyle,0.20238
2022-10-03,UncommonStyle,0.37281
2022-10-10,UncommonStyle,0.47933
2022-10-17,UncommonStyle,0.3302
2022-10-24,UncommonStyle,0.15977
2022-10-31,UncommonStyle,0.27694
2022-11-07,UncommonStyle,0.37281
2022-11-14,UncommonStyle,0.34086
2022-11-21,UncommonStyle,0.34086
2022-11-28,UncommonStyle,0.25564
2022-12-05,UncommonStyle,0.36216
2022-12-12,UncommonStyle,0.19173
2022-12-19,UncommonStyle,0.18108
2022-12-26,UncommonStyle,0.23434
2023-01-02,UncommonStyle,0.3089
2023-01-09,UncommonStyle,0.36216
2023-01-16,UncommonStyle,0.35151
2023-01-23,UncommonStyle,0.42607
2023-01-30,UncommonStyle,0.25564
2023-02-06,UncommonStyle,0.38346
2023-02-13,UncommonStyle,0.40477
2023-02-20,UncommonStyle,0.19173
2023-02-27,UncommonStyle,0.25564
2023-03-06,UncommonStyle,0.20238
2023-03-13,UncommonStyle,0.3089
2023-03-20,UncommonStyle,0.17043
2023-03-27,UncommonStyle,0.18108
2023-04-03,UncommonStyle,0.25564
2023-04-10,UncommonStyle,0.2876
2023-04-17,UncommonStyle,0.27694
2023-04-24,UncommonStyle,0.29825
2023-05-01,UncommonStyle,0.23434
2023-05-08,UncommonStyle,0.09586
2023-05-15,UncommonStyle,0.21303
2023-05-22,UncommonStyle,0.11717
2023-05-29,UncommonStyle,0.27694
2023-06-05,UncommonStyle,0.27694
2023-06-12,UncommonStyle,0.29825
2023-06-19,UncommonStyle,0.18108
2023-06-26,UncommonStyle,0.27694
2023-07-03,UncommonStyle,0.14912
2023-07-10,UncommonStyle,0.17043
2023-07-17,UncommonStyle,0.41542
2023-07-24,UncommonStyle,0.22368
2023-07-31,UncommonStyle,0.3089
2023-08-07,UncommonStyle,0.42607
2023-08-14,UncommonStyle,0.5752
2023-08-21,UncommonStyle,0.3302
2023-08-28,UncommonStyle,0.44737
2023-09-04,UncommonStyle,0.24499
2023-09-11,UncommonStyle,0.5752
2023-09-18,UncommonStyle,0.3302
2023-09-25,UncommonStyle,0.20238
2023-10-02,UncommonStyle,0.24499
2023-10-09,UncommonStyle,0.22368
2023-10-16,UncommonStyle,0.25564
2023-10-23,UncommonStyle,0.50063
2023-10-30,UncommonStyle,0.45803
2023-11-06,UncommonStyle,0.46868
2023-11-13,UncommonStyle,0.27694
2023-11-20,UncommonStyle,0.29825
2023-11-27,UncommonStyle,0.23434
2023-12-04,UncommonStyle,0.27694
2023-12-11,UncommonStyle,0.2876
2023-12-18,UncommonStyle,0.10651
2023-12-25,UncommonStyle,0.11717
2024-01-01,UncommonStyle,0.26629
2024-01-08,UncommonStyle,0.43672
2024-01-15,UncommonStyle,0.40477
2024-01-22,UncommonStyle,0.34086
2024-01-29,UncommonStyle,0.37281
2024-02-05,UncommonStyle,0.26629
2024-02-12,UncommonStyle,0.39412
2024-02-19,UncommonStyle,0.3089
2024-02-26,UncommonStyle,0.26629
2024-03-04,UncommonStyle,0.27694
2024-03-11,UncommonStyle,0.31955
2024-03-18,UncommonStyle,0.20238
2024-03-25,UncommonStyle,0.14912
2024-04-01,UncommonStyle,0.22368
2024-04-08,UncommonStyle,0.21303
2024-04-15,UncommonStyle,0.26629
2024-04-22,UncommonStyle,0.18108
2024-04-29,UncommonStyle,0.13847
2024-05-06,UncommonStyle,0.2876
2024-05-13,UncommonStyle,0.22368
2024-05-20,UncommonStyle,0.18108
2024-05-27,UncommonStyle,0.13847
2024-06-03,UncommonStyle,0.15977
2024-06-10,UncommonStyle,0.19173
2024-06-17,UncommonStyle,0.23434
2024-06-24,UncommonStyle,0.17043
2024-07-01,UncommonStyle,0.29825
2024-07-08,UncommonStyle,0.35151
2024-07-15,UncommonStyle,0.19173
2024-07-22,UncommonStyle,0.20238
2024-07-29,UncommonStyle,0.15977
2024-08-05,UncommonStyle,0.24499
2024-08-12,UncommonStyle,0.31955
2024-08-19,UncommonStyle,0.24499
2024-08-26,UncommonStyle,0.22368
2024-09-02,UncommonStyle,0.12782
